Date, Time, Count
17/01/2021,10,239
17/01/2021,10,238
18/01/2021,0,0
19/01/2021,10,209
19/01/2021,10,199
19/01/2021,10,231
19/01/2021,10,295
19/01/2021,5,150
19/01/2021,5,115
19/01/2021,10,275
19/01/2021,10,280
20/01/2021,5,80
20/01/2021,5,124
20/01/2021,5,109
21/01/2021,0,0
22/01/2021,5,117
22/01/2021,5,117
22/01/2021,5,156
23/01/2021,5,146
23/01/2021,5,91
23/01/2021,5,94
23/01/2021,5,145
23/01/2021,5,127
23/01/2021,10,310
23/01/2021,5,117
24/01/2021,5,116
24/01/2021,5,141
24/01/2021,10,308
24/01/2021,5,180
25/01/2021,10,335
25/01/2021,15,512
26/01/2021,5,78
27/01/2021,5,144
27/01/2021,5,72
27/01/2021,5,122
27/01/2021,15,364
27/01/2021,15,375
27/01/2021,5,191
27/01/2021,10,339
28/01/2021,5,131
28/01/2021,10,218
29/01/2021,5,195
29/01/2021,10,298
29/01/2021,10,359
30/01/2021,0,0
31/01/2021,0,0
01/02/2021,5,171
01/02/2021,10,330
01/02/2021,5,174
02/02/2021,0,0
03/02/2021,5,111
03/02/2021,5,120
03/02/2021,5,158
03/02/2021,10,223
04/02/2021,5, 146
04/02/2021,5, 114
05/02/2021,0,0
06/02/2021,5,108
06/02/2021,5,129
07/02/2021,5,92
07/02/2021,5,142
07/02/2021,5,139
07/02/2021,5,128
07/02/2021,5,116
07/02/2021,5,158
07/02/2021,5,150
07/02/2021,5,104
07/02/2021,10,315
07/02/2021,10,314
07/02/2021,10,193
08/02/2021,5,167
08/02/2021,5,137
08/02/2021,5,176
09/02/2021,5,98
09/02/2021,5,133
09/02/2021,5,180
09/02/2021,5,135
09/02/2021,5,185 
09/02/2021,10,375
09/02/2021,10,254
10/02/2021,5,134
10/02/2021,5,183
10/02/2021,5,201
10/02/2021,10,368
10/02/2021,10,352
10/02/2021,5,211
11/02/2021,5,192
11/02/2021,5,158
11/02/2021,5,142
11/02/2021,5,174
11/02/2021,5,173
12/02/2021,5,150
12/02/2021,5,144
12/02/2021,5,155
12/02/2021,5,182
12/02/2021,5,161
12/02/2021,5,164
12/02/2021,10,342
12/02/2021,5,186
12/02/2021,5,144
12/02/2021,5,155
12/02/2021,5,150
13/02/2021,0,0
14/02/2021,0,0
15/02/2021,0,0
16/02/2021,5,152
16/02/2021,5,180
16/02/2021,5,153
16/02/2021,5,100
17/02/2021,5,174
17/02/2021,5,137
17/02/2021,5,151
17/02/2021,10,237
18/02/2021,5,166
18/02/2021,5,153
19/02/2021,0,0
20/02/2021,0,0
21/02/2021,5,158
21/02/2021,5,174
21/02/2021,5,146
21/02/2021,5,138
21/02/2021,5,150
21/02/2021,5,157
21/02/2021,5,158
21/02/2021,5,122
22/02/2021,0,0
23/02/2021,0,0
24/02/2021,0,0
25/02/2021,0,0,
26/02/2021,0,0,
27/02/2021,15,260
28/02/2021,0,0,
01/03/2021,0,0
02/03/2021,5,133
02/03/2021,10,319
03/03/2021,0,0
04/03/2021,0,0
05/03/2021,0,0
06/03/2021,0,0
07/03/2021,5,118
08/03/2021,0,0
09/03/2021,0,0
10/03/2021,0,0
11/03/2021,0,0
12/03/2021,5,134
12/03/2021,15,309	
12/03/2021,15,330
13/03/2021,0,0
14/03/2021,0,0
15/03/2021,60,320
16/03/2021,30,100
17/03/2021,0,0
18/03/2021,0,0
19/03/2021,0,0
20/03/2021,0,0
21/03/2021,5,135
21/03/2021,5,182
22/03/2021,0,0
23/03/2021,0,0
24/03/2021,0,0
25/03/2021,0,0
26/03/2021,0,0
27/03/2021,0,0
28/03/2021,2,50
28/03/2021,12,310
29/03/2021,0,0
30/03/2021,0,0
31/03/2021,0,0
01/04/2021,10,269
02/04/2021,0,0
03/04/2021,0,0
04/04/2021,0,0
05/04/2021,5,250
06/04/2021,0,0
07/04/2021,0,0
08/04/2021,0,0
09/04/2021,0,0
10/04/2021,0,0
11/04/2021,10,300
12/04/2021,0,0
13/04/2021,0,0
14/04/2021,0,0
15/04/2021,0,0
16/04/2021,0,0
17/04/2021,5,257
18/04/2021,15,500
19/04/2021,0,0
20/04/2021,0,0
21/04/2021,0,0
22/04/2021,0,0
23/04/2021,20,441
24/04/2021,0,0
25/04/2021,0,0
26/04/2021,5,166
26/04/2021,5,175
26/04/2021,5,100
27/04/2021,0,0
28/04/2021,11,210
29/04/2021,14,313
30/04/2021,20,439
30/04/2021,27,327
01/05/2021,20,215
01/05/2021,20,372
01/05/2021,20,385
02/05/2021,40,853
02/05/2021,20,438
